"COUNTRY","Country","POLLUTANT","Pollutant","ACTIVITY","Activity - NACE 2","MEASURE","Measure","EMISSION","Emissions","YEA","Year","Value","Flag Codes","Flags"
"RUS","Russia","N2O","Nitrous oxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2017","2017",45830,,
"RUS","Russia","N2O","Nitrous oxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2018","2018",40540,,
"RUS","Russia","N2O","Nitrous oxide","C22-C23","Manufacture of rubber and plastic products and other non-metallic mineral products","TCO2E","tonnes of CO2-equivalent OECD estimate","COMBUSTION","Combustion","2019","2019",41120,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2007","2007",172697900,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2008","2008",170519910,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2009","2009",150440690,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2010","2010",161750000,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2011","2011",166661920,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2012","2012",166369990,,
"RUS","Russia","CO2","Carbon dioxide","C24-C25","Manufacture of basic metals and fabricated metal products, except machinery and equipment","TCO2E","tonnes of CO2-equivalent OECD estimate","TOTAL","Total Emissions","2013","2013",155842720,,
